house_type,location,city,latitude,longitude,price,currency,numBathrooms,numBalconies,isNegotiable,priceSqFt,verificationDate,description,SecurityDeposit,Status,numBedroom,house_layout,house_size_in_sqft,price_approx_usd
Independent Floor ,Guru Angad Nagar,Delhi,28.63530922,77.22496033,13000,INR,2.0,1.0,Negotiable,0.29,Posted 4 years ago,"Itâs a 2 bhk builder floor situated in Guru Angad Nagar, Delhi. It has area of 517 sqft and is available at a rent of Rs. 13,000. It is an unfurnished property. It is on the 3rd floor of the building (total number of floors are 4). Its main door is facing northeast direction. The property has 2 bathrooms and 1 balcony. It is well connected to the city areas. Kindly call us for details. "," 13,000",Unfurnished,2,BHK,517.0,151.59
Independent House ,Tuglak Road,Delhi,28.59545326,77.21033478,2162955,INR,4.0,2.0,Not Negotiable,4.03,Posted a year ago,Well designed 5 bhk independent house is available at a prime location in Tuglak Road. It has an area of 6251 sqft with a carpet area of 4011 sqft . The property is available at a monthly rental of Rs. 21.63 lac . It is east facing property. It is made in way to provide a comfortable living for the residents. Please contact us for more details. ," 65,41,919",Unfurnished,5,BHK,6251.0,25221.02
Villa ,Tuglak Road,Delhi,28.59545326,77.21033478,2010105,INR,4.0,2.0,Not Negotiable,4.21,Posted a year ago,Its four bhk villa in the super location of delhi central tuglakhh road it is thebsuper location road bank atm school college all r on wwlking destance," 60,10,155",Unfurnished,4,BHK,5562.0,23438.72
Independent Floor ,Saket,Delhi,28.52354813,77.20014191,235562,INR,3.0,2.0,Not Negotiable,0.96,Posted a year ago,"Itâs a 3 bhk builder floor situated in Saket, Delhi. It has a built-up area of 2855 sqft and is available for rent at Rs. 2.36 lac per month . It is an unfurnished property. It is located on the 3rd floor(out of a total of 4 floor(s)). Its main door is facing east direction. The time you'll spend here will become the greatest moment of your life that will also help you to relieve, relax & evoke a great sense of happiness. "," 7,51,225",Unfurnished,3,BHK,2855.0,2746.76
Independent Floor ,Saket,Delhi,28.52354813,77.20014191,301011,INR,3.0,2.0,Not Negotiable,1.28,Posted a year ago,Well designed 3 bhk builder floor is available at a prime location in Saket. It has a built-up area of 2741 sqft and is available for rent at Rs. 3.01 lac per month . The house is unfurnished. It is on 3rd floor. The building has a total of 4 floor(s). Its main door is facing east direction. The property has 3 bathrooms and 2 balconies. It is made in way to provide a comfortable living. It is well connected to the city areas. Please contact for more details. ," 10,10,202",Unfurnished,3,BHK,2741.0,3509.92
Independent Floor ,Saket,Delhi,28.52354813,77.20014191,235595,INR,3.0,2.0,Not Negotiable,0.96,Posted a year ago,Its three bhk builder floor in the super location of delhi south saket it is the super location road bank atm school college all r on walking destance," 7,54,225",Unfurnished,3,BHK,2856.0,2747.14
Independent Floor ,Saket,Delhi,28.52354813,77.20014191,235592,INR,3.0,2.0,Not Negotiable,1.0,Posted a year ago,Its three bhk builder floor in the super location of delhi south saket it is the super location road bank atm school college all r on walking destance," 7,51,255",Unfurnished,3,BHK,2741.0,2747.11
Independent Floor ,Saket,Delhi,28.52354813,77.20014191,301012,INR,3.0,2.0,Not Negotiable,1.23,Posted a year ago,Well designed 3 bhk builder floor is available at a prime location in Saket. It has a built-up area of 2856 sqft and is available for rent at Rs. 3.01 lac per month . It is an unfurnished property. It is on 3rd floor. The building has a total of 4 floor(s). It is facing east direction. It has 3 bathrooms and 2 balconies. It is made in way to provide a comfortable living. It is situated in the proximity of all the important facilities. Contact us for more details. ," 10,11,001",Unfurnished,3,BHK,2856.0,3509.93
Independent Floor ,Saket,Delhi,28.52354813,77.20014191,301012,INR,3.0,2.0,Not Negotiable,1.23,Posted a year ago,Its three bhk builder floor in the super location of delhi south saket it is the super location road bank atm school college all r on walking destance," 10,10,202",Unfurnished,3,BHK,2856.0,3509.93
Independent Floor ,Saket,Delhi,28.52354813,77.20014191,235592,INR,3.0,2.0,Not Negotiable,1.48,Posted a year ago,Its three bhk builder floor in the super location of delhi south saket it is the super location road bank atm school college all r on walking destance," 7,51,225",Unfurnished,3,BHK,1856.0,2747.11
